Date,Open,High,Low,Close,Volume,Adj Close
1981-10-01,116.18,123.28,115.00,121.89,48051300,121.89
1981-09-01,122.79,124.58,110.19,116.18,47611400,116.18
1981-08-03,130.92,135.18,122.29,122.79,45757600,122.79
1981-07-01,131.21,131.78,125.96,130.92,45338600,130.92
1981-06-01,132.59,135.67,128.77,131.21,51932700,131.21
1981-05-01,132.81,134.92,128.78,132.59,47850500,132.59
1981-04-01,136.00,137.72,131.58,132.81,55782800,132.81
1981-03-02,131.27,138.38,128.56,136.00,55705000,136.00
1981-02-02,129.48,132.02,124.66,131.27,45764200,131.27
1981-01-02,135.76,140.32,128.57,129.55,47460900,129.55
1980-12-01,140.52,140.66,125.32,135.76,48493600,135.76
1980-11-03,127.47,141.96,127.23,140.52,56797200,140.52
1980-10-01,125.46,135.88,124.66,127.47,46604300,127.47
1980-09-02,122.38,132.17,121.79,125.46,52285700,125.46
1980-08-01,121.67,127.78,119.42,122.38,47579500,122.38
1980-07-01,114.24,123.93,113.54,121.67,48926300,121.67
1980-06-02,111.24,117.98,109.77,114.24,40931900,114.24
1980-05-01,106.29,112.72,103.50,111.24,38082800,111.24
1980-04-01,102.09,106.79,98.95,106.29,33570900,106.29
1980-03-03,113.66,114.34,94.23,102.09,43442300,102.09
1980-02-01,114.16,120.22,111.33,113.66,49767000,113.66
1980-01-03,105.76,117.17,103.26,114.16,56358500,114.16
